handle,layer,dxftype,shape_class,n_vertices,is_convex,convex_fill,area_in2,perim_in,circularity,bbox_w_in,bbox_h_in,mrr_w_in,mrr_h_in,current_label,proposed_label,changed,anomalies
179C,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
179D,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
179E,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
179F,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,35.49,35.49,28.0,28.0,28x28,28x28,False,
17A0,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17A1,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17A2,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17A3,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
17A4,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17A5,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17A6,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
17A7,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,14.0,24.0,14.0,24.0,14x24,14x24,False,
17A8,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
17A9,COLS,LWPOLYLINE,rect,4,True,1.0,816.0,116.0,0.7621,39.9,33.62,24.0,34.0,24x34,24x34,False,
17AA,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,36.11,32.34,24.0,30.0,24x30,24x30,False,
17AB,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,39.87,28.58,18.0,36.0,18x36,18x36,False,
17AC,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17AD,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
17AE,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,31.06,32.32,24.0,26.0,24x26,24x26,False,
17AF,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17B0,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
17B1,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
17B2,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,27.22,20.95,14.0,24.0,14x24,14x24,False,
17B3,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17B4,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17B5,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17B6,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17B7,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
17B8,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
17B9,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
17BA,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17BB,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17BC,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17BD,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
17BE,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17BF,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17C0,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17C1,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17C2,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,108.0,0.7757,24.0,30.0,24.0,30.0,24x30,24x30,False,
17C3,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
17C4,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
17C5,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
17C6,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17C7,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,20.95,27.22,14.0,24.0,14x24,14x24,False,
17C8,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,24.0,14.0,14.0,24.0,14x24,14x24,False,
17C9,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
17CA,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,39.87,28.58,18.0,36.0,18x36,18x36,False,
17CB,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17CC,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17CD,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17CE,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17CF,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
17D0,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,20.95,27.22,14.0,24.0,14x24,14x24,False,
